transaction_id,sender_id,receiver_id,amount,timestamp
TXN_00000001,ACC_00123,ACC_00456,15000,21-01-2024 03:01
TXN_00000002,ACC_00456,ACC_00789,14500,21-01-2024 05:01
TXN_00000003,ACC_00789,ACC_00123,14000,21-01-2024 07:01
TXN_00000004,ACC_00234,ACC_00567,22000,28-01-2024 08:15
TXN_00000005,ACC_00567,ACC_00890,21500,28-01-2024 11:15
TXN_00000006,ACC_00890,ACC_00234,21000,28-01-2024 14:15
TXN_00000007,ACC_00345,ACC_00678,18000,17-01-2024 04:47
TXN_00000008,ACC_00678,ACC_00901,17500,17-01-2024 05:47
TXN_00000009,ACC_00901,ACC_00345,17000,17-01-2024 06:47
TXN_00000010,ACC_01000,SMURF_01,1838.27,18-01-2024 21:47
TXN_00000011,ACC_01001,SMURF_01,630.41,18-01-2024 22:17
TXN_00000012,ACC_01002,SMURF_01,1132.88,18-01-2024 22:47
TXN_00000013,ACC_01003,SMURF_01,544.7,18-01-2024 23:17
TXN_00000014,ACC_01004,SMURF_01,827.96,18-01-2024 23:47
TXN_00000015,ACC_01005,SMURF_01,1258.03,19-01-2024 00:17
TXN_00000016,ACC_01006,SMURF_01,539.8,19-01-2024 00:47
TXN_00000017,ACC_01007,SMURF_01,798.26,19-01-2024 01:17
TXN_00000018,ACC_01008,SMURF_01,1474.83,19-01-2024 01:47
TXN_00000019,ACC_01009,SMURF_01,1317.41,19-01-2024 02:17
TXN_00000020,ACC_01010,SMURF_01,830.66,19-01-2024 02:47
TXN_00000021,ACC_01011,SMURF_01,1383.9,19-01-2024 03:17
TXN_00000022,ACC_02000,MERCHANT_01,412.62,14-02-2024 00:48
TXN_00000023,ACC_02001,MERCHANT_01,364.16,14-02-2024 01:48
TXN_00000024,ACC_02002,MERCHANT_01,203.11,14-02-2024 02:48
TXN_00000025,ACC_02003,MERCHANT_01,119.97,14-02-2024 03:48
TXN_00000026,ACC_02004,MERCHANT_01,480.75,14-02-2024 04:48
TXN_00000027,ACC_02005,MERCHANT_01,201.47,14-02-2024 05:48
TXN_00000028,ACC_02006,MERCHANT_01,91.74,14-02-2024 06:48
TXN_00000029,ACC_02007,MERCHANT_01,93.52,14-02-2024 07:48
TXN_00000030,ACC_02008,MERCHANT_01,431.37,14-02-2024 08:48
TXN_00000031,ACC_02009,MERCHANT_01,321.68,14-02-2024 09:48
TXN_00000032,ACC_02010,MERCHANT_01,413.21,14-02-2024 10:48
TXN_00000033,ACC_02011,MERCHANT_01,378.38,14-02-2024 11:48
TXN_00000034,ACC_02012,MERCHANT_01,291.3,14-02-2024 12:48
TXN_00000035,ACC_02013,MERCHANT_01,487.9,14-02-2024 13:48
TXN_00000036,ACC_02014,MERCHANT_01,220.34,14-02-2024 14:48
TXN_00000037,ACC_02015,MERCHANT_01,298.42,14-02-2024 15:48
TXN_00000038,ACC_02016,MERCHANT_01,423.23,14-02-2024 16:48
TXN_00000039,ACC_02017,MERCHANT_01,328.33,14-02-2024 17:48
TXN_00000040,ACC_02018,MERCHANT_01,437.77,14-02-2024 18:48
TXN_00000041,ACC_02019,MERCHANT_01,309.81,14-02-2024 19:48
TXN_00000042,ACC_08771,ACC_03569,2386.64,08-01-2024 09:05
TXN_00000043,ACC_04907,ACC_03827,19068.3,15-01-2024 20:53
TXN_00000044,ACC_05988,ACC_04332,18572.03,07-01-2024 21:17
TXN_00000045,ACC_08749,ACC_08599,32436.97,20-01-2024 20:10
TXN_00000046,ACC_07375,ACC_08973,12316.07,15-01-2024 12:17
TXN_00000047,ACC_08242,ACC_08637,27891.79,22-01-2024 10:53
TXN_00000048,ACC_09294,ACC_09356,2891.3,27-01-2024 01:51
TXN_00000049,ACC_05584,ACC_06286,13460.27,07-01-2024 18:56
TXN_00000050,ACC_08881,ACC_05577,10710.06,16-01-2024 12:56
TXN_00000051,ACC_08266,ACC_06758,7229.29,05-01-2024 07:47
TXN_00000052,ACC_07598,ACC_07415,13210.81,19-01-2024 13:57
TXN_00000053,ACC_07780,ACC_06271,18163.62,05-01-2024 16:31
TXN_00000054,ACC_03744,ACC_09191,2451.11,04-01-2024 04:40
TXN_00000055,ACC_04310,ACC_09488,34056.01,20-01-2024 02:24
TXN_00000056,ACC_06126,ACC_07881,49806.46,17-01-2024 08:35
TXN_00000057,ACC_03094,ACC_08572,36064.02,22-01-2024 17:48
TXN_00000058,ACC_05185,ACC_09296,32083.99,04-01-2024 09:27
TXN_00000059,ACC_04295,ACC_06716,261.94,24-01-2024 23:16
TXN_00000060,ACC_07100,ACC_09241,9014.73,30-01-2024 03:55
TXN_00000061,ACC_08122,ACC_05444,42099.3,17-01-2024 19:12
TXN_00000062,ACC_04252,ACC_06063,38149.29,18-01-2024 16:58
TXN_00000063,ACC_03004,ACC_07906,16275.39,01-01-2024 03:59
TXN_00000064,ACC_05973,ACC_09813,40358.06,08-01-2024 01:15
TXN_00000065,ACC_07647,ACC_03645,4374.11,16-01-2024 02:48
TXN_00000066,ACC_07363,ACC_09273,6375.45,22-01-2024 15:35
TXN_00000067,ACC_04352,ACC_05171,26430.92,20-01-2024 13:13
TXN_00000068,ACC_07417,ACC_09187,36523.56,07-01-2024 22:19
TXN_00000069,ACC_06268,ACC_08502,32528.92,15-01-2024 16:28
TXN_00000070,ACC_03991,ACC_05030,11312.4,11-01-2024 00:37
TXN_00000071,ACC_07537,ACC_04885,29463.16,01-01-2024 02:45
TXN_00000072,ACC_08169,ACC_03482,11524.2,29-01-2024 01:55
TXN_00000073,ACC_05706,ACC_03580,25756.39,09-01-2024 21:31
TXN_00000074,ACC_04755,ACC_07417,6702.36,30-01-2024 18:36
TXN_00000075,ACC_06872,ACC_04990,39252.51,26-01-2024 13:12
TXN_00000076,ACC_03772,ACC_03794,32983.24,12-01-2024 13:26
TXN_00000077,ACC_06825,ACC_08972,2803.14,21-01-2024 20:06
TXN_00000078,ACC_03496,ACC_06298,36437.86,26-01-2024 03:15
TXN_00000079,ACC_04569,ACC_04558,26860.66,05-01-2024 13:11
TXN_00000080,ACC_05281,ACC_06789,12565.34,30-01-2024 02:28
TXN_00000081,ACC_09619,ACC_07508,4985.65,21-01-2024 17:53
TXN_00000082,ACC_03120,ACC_03764,46325.71,28-01-2024 07:10
TXN_00000083,ACC_06329,ACC_06978,24119.79,28-01-2024 12:57
TXN_00000084,ACC_03480,ACC_04348,19010.76,13-01-2024 08:59
TXN_00000085,ACC_09423,ACC_09431,22804.92,14-01-2024 22:46
TXN_00000086,ACC_09417,ACC_07552,33127.38,16-01-2024 04:12
TXN_00000087,ACC_05430,ACC_04783,48438.6,19-01-2024 23:34
TXN_00000088,ACC_03499,ACC_09127,15748.88,02-01-2024 18:30
TXN_00000089,ACC_07119,ACC_09985,26603.19,02-01-2024 16:05
TXN_00000090,ACC_09974,ACC_04522,3519.21,03-01-2024 21:55
TXN_00000091,ACC_04926,ACC_06307,6082.34,29-01-2024 18:15
TXN_00000092,ACC_07742,ACC_07870,2083.11,03-01-2024 13:42
TXN_00000093,ACC_07781,ACC_07630,26186.86,30-01-2024 08:13
TXN_00000094,ACC_08486,ACC_08867,15777.77,09-01-2024 12:08
TXN_00000095,ACC_08502,ACC_08287,15069.85,11-01-2024 02:00
TXN_00000096,ACC_06754,ACC_08088,49922.88,04-01-2024 02:34
TXN_00000097,ACC_04746,ACC_07144,13333.5,30-01-2024 11:56
TXN_00000098,ACC_03563,ACC_05001,18539.4,06-01-2024 14:53
TXN_00000099,ACC_07450,ACC_08763,15195.61,26-01-2024 20:33
TXN_00000100,ACC_03064,ACC_08471,40873.5,10-01-2024 21:06
TXN_00000101,ACC_04100,ACC_05166,5859.89,04-01-2024 23:35
TXN_00000102,ACC_04273,ACC_05231,14159.64,07-01-2024 22:21
TXN_00000103,ACC_04667,ACC_08631,31748.47,09-01-2024 16:31
TXN_00000104,ACC_05057,ACC_09931,2634.86,21-01-2024 13:53
TXN_00000105,ACC_05266,ACC_03361,276.93,25-01-2024 04:40
TXN_00000106,ACC_05145,ACC_04323,37087.42,18-01-2024 22:27
TXN_00000107,ACC_07594,ACC_03079,5682.51,31-01-2024 22:57
TXN_00000108,ACC_04221,ACC_07469,1897.8,12-01-2024 18:35
TXN_00000109,ACC_04213,ACC_06520,6459.53,10-01-2024 11:57
TXN_00000110,ACC_09521,ACC_03326,44956.34,07-01-2024 21:15
TXN_00000111,ACC_08463,ACC_03842,17748.56,18-01-2024 13:39
TXN_00000112,ACC_09139,ACC_04266,46295.61,08-01-2024 05:51
TXN_00000113,ACC_09641,ACC_04450,44082.67,01-01-2024 05:47
TXN_00000114,ACC_05721,ACC_09409,46547.71,26-01-2024 21:55
TXN_00000115,ACC_09021,ACC_09641,12483.55,06-01-2024 22:06
TXN_00000116,ACC_06133,ACC_03317,42943.8,08-01-2024 06:52
TXN_00000117,ACC_06770,ACC_05864,15329.02,26-01-2024 07:14
TXN_00000118,ACC_03193,ACC_08406,9737.18,11-01-2024 08:55
TXN_00000119,ACC_03568,ACC_09335,14028.34,21-01-2024 16:25
TXN_00000120,ACC_08566,ACC_09911,26857.17,31-01-2024 00:07
TXN_00000121,ACC_05139,ACC_04462,29071.43,09-01-2024 01:06
TXN_00000122,ACC_07887,ACC_06559,17349.79,26-01-2024 10:27
TXN_00000123,ACC_07966,ACC_07189,5870.72,29-01-2024 18:12
TXN_00000124,ACC_05086,ACC_03363,35468.39,01-01-2024 16:59
TXN_00000125,ACC_09606,ACC_07410,34374.17,31-01-2024 23:47
TXN_00000126,ACC_08493,ACC_04614,18274.65,03-01-2024 21:58
TXN_00000127,ACC_05704,ACC_08104,15764.39,28-01-2024 03:46
